Date,Close,High,Low,Open,Volume,date,finbert_mean,article_count
2024-04-30,169.1155548095703,173.74233280675443,168.78790588015656,172.09416491333778,65934800,,0.0,
2024-05-01,168.0928955078125,171.47858587357683,167.90424778215495,168.37089789825708,50383100,,0.0,
2024-05-02,171.7963104248047,172.18352915382397,169.67156903864844,171.2800137361139,94214900,,0.0,
2024-05-03,182.07252502441406,185.66670996286234,181.35765733555206,185.31919936550048,163224100,,0.0,
2024-05-06,180.41444396972656,182.8866809793933,179.1336329755651,181.04988026799387,78569700,,0.0,
2024-05-07,181.09947204589844,183.58164691028847,180.02718583647587,182.14198851894085,77305800,,0.0,
2024-05-08,181.43707275390625,181.76472167822584,180.1562619452029,181.5462890620128,45057100,,0.0,
2024-05-09,183.25404357910156,183.34339825305352,180.81157644111198,181.25836496086742,48983000,,0.0,
2024-05-10,181.99139404296875,184.01958970422,181.07671637844012,183.83068607894495,50759500,,0.0,
2024-05-13,185.2027130126953,186.01797810895252,183.55230940603695,184.36757450229416,72044800,,0.0,
2024-05-14,186.3460235595703,187.2110023802185,185.2126171602605,186.42556271379902,52393600,,0.0,
2024-05-15,188.622802734375,189.54741702859607,186.2863873072406,186.8232728469217,70400000,,0.0,
2024-05-16,188.74208068847656,189.99480334671227,188.5631289776096,189.36844201759442,52845200,,0.0,
2024-05-17,188.7719268798828,189.70649303935699,188.08591490450098,188.4140082479681,41282900,,0.0,
2024-05-20,189.93515014648438,190.81006568993442,187.91689147556073,188.23504809883084,44361300,,0.0,
2024-05-21,191.2375946044922,191.6153866469515,189.815856788038,189.98487181213304,42309400,,0.0,
2024-05-22,189.79595947265625,191.70486886169914,189.1696132758398,191.15804664976199,34648500,,0.0,
2024-05-23,185.79922485351562,189.89539287135,185.55067067436462,189.87550428926582,51005900,,0.0,
2024-05-24,188.88128662109375,189.47782271626807,186.9525037733123,187.72800676525614,36327000,,0.0,
2024-05-28,188.89125061035156,191.8838376427625,188.00639828711084,190.40244918609352,52280100,,0.0,
2024-05-29,189.1894989013672,191.13817040866115,188.41401104911338,188.5134387924459,53068000,,0.0,
2024-05-30,190.18368530273438,191.0685374632305,189.5275138813011,189.65675172235697,49889100,,0.0,
2024-05-31,191.13815307617188,191.4563096895504,188.81168973037515,190.33284000805318,75158300,,0.0,
2024-06-03,192.90786743164062,193.86232215027837,191.40660565779223,191.7843976924141,50080500,,0.0,
2024-06-04,193.2260284423828,194.19041988861153,191.91365507081835,193.51434462038463,47471400,,0.0,
2024-06-05,194.7372283935547,195.76127042413225,193.74301165159252,194.269945311189,54156800,,0.0,
2024-06-06,193.3552703857422,195.3635924798522,193.04706561878618,194.55827933508485,41181800,,0.0,
2024-06-07,195.75132751464844,195.80104138427978,193.0172315608974,193.5242766218339,53103900,,0.0,
2024-06-10,192.00314331054688,196.1589774177998,191.03875180216343,195.76128159599278,97010200,,0.0,
2024-06-11,205.9519805908203,205.9619324668351,192.51018190883102,192.53005531977516,172373300,,0.0,
2024-06-12,211.8377685546875,218.92652361101457,205.7034379048798,206.17072098738436,198134300,,0.0,
2024-06-13,213.00100708007812,215.49648572091758,210.37627540407073,213.4981154669776,97862700,,0.0,
2024-06-14,211.26112365722656,213.92561727783075,210.07800329190465,212.61325905037393,70122700,,0.0,
2024-06-17,215.4169464111328,217.6837594401996,211.4897931914233,212.13602802573277,93728300,,0.0,
2024-06-18,213.05068969726562,217.36560169939582,211.76815683093403,216.33160783720555,79943300,,0.0,
2024-06-20,208.46734619140625,213.00098699569836,207.64215969704074,212.6927670816265,86172500,,0.0,
2024-06-21,206.29002380371094,210.6645711149637,205.91221661181947,209.17324609923537,241805100,,0.0,
2024-06-24,206.936279296875,211.46990537136972,205.39524025887107,206.51871007112354,80727000,,0.0,
2024-06-25,207.86090087890625,210.15753911842552,207.40355450398363,207.94042486793816,55549700,,0.0,
2024-06-26,212.01670837402344,213.6173978459433,209.42180221570723,210.2768291728298,66213200,,0.0,
2024-06-27,212.86181640625,214.49233130131694,211.1219370597224,213.4484006592916,49772700,,0.0,
2024-06-28,209.4019317626953,214.82042530908265,209.08379028418835,214.52215724323335,82542700,,0.0,
